Batch	Serial No. (in batch)	Label	ng/ÂµL	Colony	Bee No.
1	1	1_1	14.1	1	1
1	10	1_2	6.62	1	2
1	4	1_4	11.2	1	4
1	13	1_5	7.38	1	5
1	1	1_3	6.48	1	3
1	22	5_1	9.4	5	1
1	2	5_5	9.46	5	5
1	1	5_3	3.02	5	3
1	1	5_4	1.09	5	4
1	1	5_2	3.06	5	2
1	11	10_1	3.48	10	1
1	20	10_2	3.38	10	2
1	5	10_3	4.14	10	3
1	14	10_4	3.38	10	4
1	23	10_5	4.66	10	5
1	1	13_1	2.52	13	1
1	3	13_4	4.32	13	4
1	12	13_5	3.84	13	5
1	2	13_2	3.82	13	2
1	2	13_3	0.62	13	3
1	21	19_1	18	19	1
1	6	19_2	7	19	2
1	15	19_3	6.24	19	3
1	24	19_4	13.7	19	4
2	2	19_5	0.962	19	5
2	12	22_1	4.12	22	1
2	21	22_2	9.76	22	2
2	2	22_3	2.28	22	3
2	3	22_4	1.83	22	4
2	3	22_5	1.16	22	5
2	3	24_1	0.84	24	1
2	4	24_3	3.06	24	3
2	13	24_4	3.44	24	4
2	22	24_5	6.42	24	5
2	2	24_2	2.42	24	2
2	7	25_1	3.94	25	1
2	16	25_2	6.94	25	2
2	3	25_3	0.588	25	3
2	4	25_4	1.64	25	4
2	4	25_5	2.32	25	5
2	4	27_1	0.252	27	1
2	5	27_2	2.66	27	2
2	14	27_3	3.44	27	3
2	23	27_4	8.38	27	4
2	8	27_5	5.22	27	5
2	17	28_1	5.1	28	1
2	4	28_2	2.12	28	2
2	5	28_3	3.48	28	3
3	5	28_4	1.14	28	4
3	3	28_5	1.5	28	5
3	6	30_1	3.52	30	1
3	15	30_2	2.84	30	2
3	24	30_3	4.24	30	3
3	9	30_4	2.7	30	4
3	18	30_5	7.84	30	5
3	5	32_1	0.456	32	1
3	7	32_5	1.36	32	5
3	6	32_2	0.28	32	2
3	6	32_3	0.964	32	3
3	4	32_4	0.48	32	4
3	16	35_1	4.42	35	1
3	1	35_2	10	35	2
3	10	35_3	2.94	35	3
3	19	35_4	6.94	35	4
4	5	35_5	0.852	35	5
4	19	37_1	6.72	37	1
4	8	37_4	10.7	37	4
4	17	37_5	1.58	37	5
4	7	37_2	3.24	37	2
4	7	37_3	0.912	37	3
4	2	39_1	4.1	39	1
4	11	39_2	6.36	39	2
4	20	39_3	3.96	39	3
4	6	39_4	0.95	39	4
4	8	39_5	2.06	39	5
4	8	40_1	2.26	40	1
4	9	40_3	5.02	40	3
4	18	40_4	6.34	40	4
4	3	40_5	4.3	40	5
4	5	40_2	2.38	40	2
4	7	41_1	too low	41	1
4	9	41_2	0.2	41	2
4	9	41_3	too low	41	3
4	6	41_4	0.158	41	4
4	6	41_5	0.282	41	5
4	10	42_1	1.75	42	1
4	10	42_2	2.04	42	2
4	7	42_3	0.696	42	3
5	8	42_5	0.428	42	5
5	7	42_4	2.7	42	4
5	8	47_1	0.158	47	1
5	11	47_2	0.326	47	2
5	11	47_3	0.112	47	3
5	9	47_4	too low	47	4
5	8	47_5	0.178	47	5
5	12	52_1	1.89	52	1
5	12	52_2	0.87	52	2
5	10	52_3	0.644	52	3
5	11	52_5	0.666	52	5
5	9	52_4	0.5	52	4
5	9	56_1	2.22	56	1
5	13	56_2	2.76	56	2
5	13	56_3	1.45	56	3
5	12	56_4	0.324	56	4
5	10	56_5	1.42	56	5
5	13	57_1	2.02	57	1
5	14	57_2	0.992	57	2
5	14	57_3	0.488	57	3
5	14	57_4	too low	57	4
5	11	57_5	1.3	57	5
5	12	59_1	0.198	59	1
5	15	59_2	4.56	59	2
6	15	59_3	1.05	59	3
6	15	59_4	0.146	59	4
6	13	59_5	0.808	59	5
6	10	61_1	1.95	61	1
6	16	61_2	0.58	61	2
6	16	61_3	1.58	61	3
6	16	61_4	too low	61	4
6	14	61_5	1	61	5
6	11	62_1	0.15	62	1
6	17	62_2	too low	62	2
6	17	62_3	0.21	62	3
6	17	62_4	too low	62	4
6	15	62_5	too low	62	5
6	16	63_1	too low	63	1
6	18	63_2	2.38	63	2
6	18	63_3	too low	63	3
6	18	63_4	too low	63	4
6	17	63_5	0.386	63	5
6	18	64_1	too low	64	1
6	19	64_2	0.136	64	2
6	19	64_3	too low	64	3
6	19	64_4	0.156	64	4
6	19	64_5	0.112	64	5
6	12	65_1	too low	65	1
7	20	65_2	0.236	65	2
7	20	65_3	0.154	65	3
7	20	65_4	0.164	65	4
7	20	65_5	0.126	65	5
7	13	66_1	0.21	66	1
7	21	66_2	0.514	66	2
7	21	66_3	0.252	66	3
7	21	66_4	too low	66	4
7	21	66_5	0.112	66	5
7	14	67_1	1.13	67	1
7	22	67_2	0.724	67	2
7	22	67_3	0.244	67	3
7	22	67_4	0.198	67	4
7	22	67_5	2.48	67	5
7	15	68_1	0.796	68	1
7	23	68_2	3.94	68	2
7	23	68_3	2.94	68	3
7	23	68_4	0.47	68	4
7	23	68_5	2.84	68	5
7	16	69_1	2.16	69	1
7	24	69_2	3.46	69	2
7	24	69_3	2.36	69	3
7	24	69_4	0.72	69	4
7	24	69_5	2.72	69	5